ticker,close,rsi,ma5,ma20,volume
fujikura,19415.0,60.62495997148779,19057.0,18011.25,958100
advantest,25325.0,64.15178858459535,25251.0,22585.75,2377100
ibiden,8269.0,65.65843544687513,8139.4,7665.9,364500
lasertec,36580.0,57.399410566615366,37172.0,34915.25,916600
screen,19940.0,73.32378759444224,19735.0,17712.75,205300
hoya,25305.0,57.054339722610806,25227.0,25035.75,148700
rohm,2695.0,72.69325149110554,2717.9,2508.1,251300
tel,41490.0,59.4505806152698,41968.0,40396.5,646900
furukawa,13810.0,73.94421086761417,13504.0,11340.2,803100
shionogi,3125.0,65.71906984795012,3116.2,2964.15,344600
chugai,8619.0,57.077231682218624,8542.0,8441.9,675100
astellas,2156.0,48.87681985433257,2167.6,2206.425,1541800
kepco,2482.0,48.60661976525332,2455.2,2502.525,318200
enos,1301.0,73.26527084253505,1256.3,1212.4,1996000
mhi,4504.0,53.73670765844582,4515.0,4498.05,2931900
ihi,3536.0,61.7145288531935,3555.4,3388.925,2092600
khi,12845.0,52.673797948411206,12918.0,12958.5,513400
itochu,1969.0,46.501977717515615,1969.9,2026.45,1430700
mitsubishi,4083.0,61.010132853536845,4029.2,3952.85,1028300
mitsui,5069.0,63.73424761986737,5022.8,4983.4,886800
toyota,3489.0,52.56675614617404,3444.0,3499.6,2684400
nipponsteel,646.5,49.110207659064265,647.2800048828125,656.3299987792968,1982300
jfeh,2087.5,53.63731641019897,2098.3,2099.975,306900
mol,4874.0,62.369158546859026,4785.2,4805.05,882000
kilne,2246.0,57.193597385201585,2216.9,2236.525,642800
nipponham,6962.0,56.2211268260881,6951.0,6883.2,32200
disco,66880.0,64.93451677485241,68026.0,60725.0,377700
renesas,2596.0,66.20024383441958,2510.9,2392.6,1518800
ntt,155.10000610351562,45.076177332027825,155.02000122070314,157.63500061035157,26787100
fujitsu,4305.0,51.30557399902092,4109.4,4352.85,3957900
