高遠るい,はぐれアイドル地獄変,01,kindle,20150420,
色白好,過ち、はじめまして。,01,kindle,20150731,
色白好,過ち、はじめまして。,02,kindle,20150731,
原泰久,キングダム,33,kindle,20150910,
天空太一,フォトカノ-Memorial Pictures,01,kindle,20150920,
柚木Ｎ,生徒会副会長矢上さゆりは頑張っている！,01,kindle,20160304,
柚木Ｎ,生徒会副会長矢上さゆりは頑張っている！,02,kindle,20160327,
柚木Ｎ,生徒会副会長矢上さゆりは頑張っている！,03,kindle,20160327,
萩原一至,BASTARD!!,03,kindle,20160430,
武田弘光,マケン姫っ！,01,kindle,20160721,
高遠るい,はぐれアイドル地獄変,03,kindle,20160918,
奥浩哉,GANTZ-カラー版,01,kindle,20161121,
奥浩哉,GANTZ-カラー版,02,kindle,20161122,
石塚千尋,ふらいんぐうぃっち,01,kindle,20161205,
高遠るい,はぐれアイドル地獄変,04,kindle,20170119,
金沢真之介,クノイチノイチ！,01,kindle,20170119,
尾田栄一郎,ONE-PIECE-カラー版,01,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,02,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,03,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,04,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,05,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,06,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,07,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,08,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,09,kindle,20170506,
尾田栄一郎,ONE-PIECE-カラー版,10,kindle,20170506,
本名ワコウ,ノ・ゾ・キ・ア・ナ-カラー版,01,kindle,20180209,
柴山薫,爆骨少女-ギリギリぷりん,01,kindle,20180222,
萩原一至,BASTARD!!,04,kindle,20180228,
萩原一至,BASTARD!!,05,kindle,20180228,
尾田栄一郎,ONE-PIECE-カラー版,80,kindle,20180305,
めいびい,かつて神だった獣たちへ,01,kindle,20180313,
オニグンソウ,もののがたり,01,kindle,20180630,
オニグンソウ,もののがたり,02,kindle,20180630,
稲葉みのり,源君物語-セミカラー版,01,kindle,20180630,
稲葉みのり,源君物語-セミカラー版,02,kindle,20180630,
宵野コタロー,終末のハーレム-セミカラー版,01,kindle,20181118,
オニグンソウ,もののがたり,07,kindle,20190711,
原泰久,キングダム,49,kindle,20190711,
高橋脩,ラストギアス,01,kindle,20190717,
高橋脩,ラストギアス,02,kindle,20190717,
オニグンソウ,もののがたり,10,kindle,20190919,
高橋脩,ラストギアス,03,kindle,20191106,
高遠るい,はぐれアイドル地獄変,02,kindle,20191201,
原泰久,キングダム,10,kindle,20191218,
原泰久,キングダム,11,kindle,20191218,
原泰久,キングダム,16,kindle,20191224,
石塚千尋,ふらいんぐうぃっち,02,kindle,20191229,
原泰久,キングダム,25,kindle,20200114,
原泰久,キングダム,27,kindle,20200120,
原泰久,キングダム,28,kindle,20200120,
原泰久,キングダム,30,kindle,20200122,
原泰久,キングダム,32,kindle,20200122,
流石景,ドメスティックな彼女,10,kindle,20200202,
流石景,ドメスティックな彼女,09,kindle,20200203,
オニグンソウ,もののがたり,09,kindle,20200210,
春輝,あらくさ忍法帖,01,kindle,20200317,
原泰久,キングダム,57,kindle,20200417,
村山渉,それでも僕らはヤってない,01,kindle,20200504,
村山渉,それでも僕らはヤってない,02,kindle,20200504,
村山渉,それでも僕らはヤってない,03,kindle,20200504,
本名ワコウ,カイカンドウキ,01,kindle,20200511,
本名ワコウ,カイカンドウキ,02,kindle,20200511,
オニグンソウ,もののがたり,11,kindle,20200519,
本名ワコウ,カイカンドウキ,03,kindle,20200708,
原泰久,キングダム,58,kindle,20200717,
高橋脩,ラストギアス,04,kindle,20200804,
如月群真,恋愛志向生徒会,01,kindle,20200929,
本名ワコウ,カイカンドウキ,04,kindle,20201013,
原泰久,キングダム,59,kindle,20201019,
山本亮平,早乙女姉妹は漫画のためなら！？,01,kindle,20201206,
ミウラタダヒロ,ゆらぎ荘の幽奈さん,04,kindle,20201206,
ミウラタダヒロ,ゆらぎ荘の幽奈さん,05,kindle,20201206,
春輝,あらくさ忍法帖,02,kindle,20201209,
タスクオーナ,Fate-stay-night-Heaven-s-Feel,01,kindle,20203030,
藤田和日郎,うしおととら,04,kindle,20210111,
藤田和日郎,うしおととら,05,kindle,20210111,
藤田和日郎,からくりサーカス,04,kindle,20210111,
藤田和日郎,からくりサーカス,05,kindle,20210111,
藤田和日郎,月光条例,04,kindle,20210111,
藤田和日郎,月光条例,05,kindle,20210111,
本名ワコウ,カイカンドウキ,05,kindle,20210112,
鯨川リョウ,マルセイ,01,kindle,20210112,
原泰久,キングダム,60,kindle,20210119,
笠原真樹,リビドーズ,01,kindle,20210121,
